arm,max_concurrency,repeat,msg_per_sec,peak_in_flight
0.3.2.0,100,1,22116.9,100
0.3.2.0,100,2,22425.8,100
0.3.2.0,1000,1,34404.8,335
0.3.2.0,1000,2,33499.2,345
0.3.2.0,10000,1,30440.1,415
0.3.2.0,10000,2,30300.4,381
LOCAL,100,1,16310.2,100
LOCAL,100,2,16297.3,100
LOCAL,1000,1,25941.3,346
LOCAL,1000,2,30734.1,333
LOCAL,10000,1,23939.8,439
LOCAL,10000,2,23631.1,407
