pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,12000,24,500,20000,10,24,1,375.4,24,2,5.93,3355,27917,28991,28652,6563,30306,31776,31940,-,-,-,-,-,-,-,0,0,0
LOCAL,2266159329,NATIVE,core-vt,timer,KEY,zipf,12000,24,500,20000,10,24,1,370.5,24,2,4.54,3623,27917,28991,29114,6854,30746,32218,32377,-,-,-,-,-,-,-,0,0,0
LOCAL,2266159329,NATIVE,core-dpvt,timer,KEY,zipf,12000,24,500,20000,10,24,1,368.1,24,2,4.47,3623,27917,30064,29358,6828,30942,32440,32602,-,-,-,-,-,-,-,0,0,0
