pc_version,client_pin,mode,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight
LOCAL,NATIVE,core,2,25,1,8661.2,25
LOCAL,NATIVE,core,2,25,2,8673.5,25
LOCAL,NATIVE,core,2,100,1,25254.3,100
LOCAL,NATIVE,core,2,100,2,25571.7,100
LOCAL,NATIVE,core,2,1000,1,53151.1,456
LOCAL,NATIVE,core,2,1000,2,50578.0,438
llingr-demux-v0.12.2,franz,llingr,2,25,1,9968.7,25
llingr-demux-v0.12.2,franz,llingr,2,25,2,10101.9,25
llingr-demux-v0.12.2,franz,llingr,2,100,1,30645.3,100
llingr-demux-v0.12.2,franz,llingr,2,100,2,30823.4,100
llingr-demux-v0.12.2,franz,llingr,2,1000,1,84378.0,1000
llingr-demux-v0.12.2,franz,llingr,2,1000,2,82159.6,1000
franz-go-v1.21.5,franz,franz,2,25,1,10116.2,25
franz-go-v1.21.5,franz,franz,2,25,2,10045.1,25
franz-go-v1.21.5,franz,franz,2,100,1,31611.3,100
franz-go-v1.21.5,franz,franz,2,100,2,31754.7,100
franz-go-v1.21.5,franz,franz,2,1000,1,92445.9,1000
franz-go-v1.21.5,franz,franz,2,1000,2,92323.9,1000
